,bbm_id,Name,Status,bbm_abr_2018,Conf,Pos,Age,g,Date,m,player_id,carmelo,pipm,espn,oRPM,dRPM,oPIPM,dPIPM,xORPM,xDRPM,oKPM,dKPM,bbm_abr_2019,tenure,MP,new_coach,USG,oRL,dRL,same_team,o_regress,d_regress
73,2841,DeAndre Jordan,New TeamUnrestricted Free Agent,DAL,5.0,C,30.2,77.0,43385,2464.0,/players/j/jordade01.html,DeAndre Jordan,DeAndre Jordan,DeAndre Jordan,-0.3,2.2,-0.06,2.14,-0.88,2.17,-0.315,1.9665000000000001,LAC,10.0,2424.8,0.0,15.2,-1.7,1.3,False,0.7,0.9
74,2810,Nicolas Batum,,CHA,4.0,SG/SF,29.8,70.5,43386,2290.5,/players/b/batumni01.html,Nicolas Batum,Nicolas Batum,Nicolas Batum,0.5,-0.2,-0.13,-0.3,0.29,-0.8,0.2618,-0.35100000000000003,CHA,10.0,1983.9,1.0,18.3,-1.25,-0.5,False,0.7,0.9
75,3154,Hassan Whiteside,Player Option,MIA,3.0,C,29.3,70.5,43386,1762.5,/players/w/whiteha01.html,Hassan Whiteside,Hassan Whiteside,Hassan Whiteside,-2.2,2.9,-0.84,1.71,-1.98,2.91,-1.9980000000000002,2.784,MIA,6.0,1441.6,0.0,24.7,-1.7,1.3,True,1.0,1.0
76,5698,Jaren Jackson,Position Battle,MEM,3.0,PF,19.1,76.0,43389,1938.5,/players/j/jacksja02.html,Jaren Jackson Jr.,Jaren Jackson,Jaren Jackson Jr.,-2.5,1.7,-1.49,1.45,-2.5,1.7,-2.399,1.675,,,0.0,,,-1.4,0.3,True,1.0,1.0
77,5036,Larry Nance Jr.,Restricted Free AgentPosition Battle,CLE,2.0,PF/C,25.8,72.0,43389,1800.0,/players/n/nancela02.html,Larry Nance Jr.,Larry Nance,Larry Nance Jr.,-0.7,2.4,-0.83,2.02,-0.58,3.08,-0.47389999999999993,2.3094,,3.0,1725.3,,15.9,-1.55,0.8,False,0.7,0.9
78,5342,Kris Dunn,,CHI,3.0,PG/SG,24.6,72.5,43389,2283.0,/players/d/dunnkr01.html,Kris Dunn,Kris Dunn,Kris Dunn,-0.6,0.4,-1.47,0.16,-0.09,-0.84,-0.534,0.00399999999999999,CHI,2.0,1525.2,0.0,24.7,-0.9,-0.9,True,1.0,1.0
79,2600,Rudy Gay,Unrestricted Free AgentNew Contract,SAS,3.0,SF/PF,32.2,70.5,43386,2115.0,/players/g/gayru01.html,Rudy Gay,Rudy Gay,Rudy Gay,-1.0,0.7,-0.8,-0.04,-1.17,0.93,-1.031,0.6950000000000001,SAS,12.0,1390.1,0.0,24.6,-1.4,0.05,True,1.0,1.0
80,3711,Steven Adams,,OKC,4.0,C,25.2,77.5,43386,2557.5,/players/a/adamsst01.html,Steven Adams,Steven Adams,Steven Adams,0.1,1.7,0.29,1.63,0.61,1.26,0.272,1.5610000000000002,OKC,5.0,2688.5,0.0,16.7,-1.7,1.3,True,1.0,1.0
81,2370,Trevor Ariza,New TeamUnrestricted Free AgentNew Contract,PHO,3.0,SG/SF,33.3,73.0,43389,2411.0,/players/a/arizatr01.html,Trevor Ariza,Trevor Ariza,Trevor Ariza,0.0,0.7,-0.18,0.15,-0.57,-0.08,-0.13229999999999997,0.3699,HOU,14.0,2847.5,0.0,14.4,-1.25,-0.5,False,0.7,0.9
82,3722,Allen Crabbe,Position BattlePlayer Option,BKN,4.0,SG/SF,26.5,74.5,43389,2160.5,/players/c/crabbal01.html,Allen Crabbe,Allen Crabbe,Allen Crabbe,0.4,-1.6,0.08,-1.08,0.99,-2.1,0.5449999999999999,-1.698,BKN,5.0,2195.7,0.0,19.0,-1.25,-0.5,True,1.0,1.0
